"","date","series_id","value","realtime_start","realtime_end"
"186",1997-02-01,"GS3M",5.14,2021-02-24,2021-02-24
"187",1997-03-01,"GS3M",5.28,2021-02-24,2021-02-24
"188",1997-04-01,"GS3M",5.3,2021-02-24,2021-02-24
"189",1997-05-01,"GS3M",5.2,2021-02-24,2021-02-24
"190",1997-06-01,"GS3M",5.07,2021-02-24,2021-02-24
"191",1997-07-01,"GS3M",5.19,2021-02-24,2021-02-24
"192",1997-08-01,"GS3M",5.28,2021-02-24,2021-02-24
"193",1997-09-01,"GS3M",5.08,2021-02-24,2021-02-24
"194",1997-10-01,"GS3M",5.11,2021-02-24,2021-02-24
"195",1997-11-01,"GS3M",5.28,2021-02-24,2021-02-24
"196",1997-12-01,"GS3M",5.3,2021-02-24,2021-02-24
"197",1998-01-01,"GS3M",5.18,2021-02-24,2021-02-24
"198",1998-02-01,"GS3M",5.23,2021-02-24,2021-02-24
"199",1998-03-01,"GS3M",5.16,2021-02-24,2021-02-24
"200",1998-04-01,"GS3M",5.08,2021-02-24,2021-02-24
"201",1998-05-01,"GS3M",5.14,2021-02-24,2021-02-24
"202",1998-06-01,"GS3M",5.12,2021-02-24,2021-02-24
"203",1998-07-01,"GS3M",5.09,2021-02-24,2021-02-24
"204",1998-08-01,"GS3M",5.04,2021-02-24,2021-02-24
"205",1998-09-01,"GS3M",4.74,2021-02-24,2021-02-24
"206",1998-10-01,"GS3M",4.07,2021-02-24,2021-02-24
"207",1998-11-01,"GS3M",4.53,2021-02-24,2021-02-24
"208",1998-12-01,"GS3M",4.5,2021-02-24,2021-02-24
"209",1999-01-01,"GS3M",4.45,2021-02-24,2021-02-24
"210",1999-02-01,"GS3M",4.56,2021-02-24,2021-02-24
"211",1999-03-01,"GS3M",4.57,2021-02-24,2021-02-24
"212",1999-04-01,"GS3M",4.41,2021-02-24,2021-02-24
"213",1999-05-01,"GS3M",4.63,2021-02-24,2021-02-24
"214",1999-06-01,"GS3M",4.72,2021-02-24,2021-02-24
"215",1999-07-01,"GS3M",4.69,2021-02-24,2021-02-24
"216",1999-08-01,"GS3M",4.87,2021-02-24,2021-02-24
"217",1999-09-01,"GS3M",4.82,2021-02-24,2021-02-24
"218",1999-10-01,"GS3M",5.02,2021-02-24,2021-02-24
"219",1999-11-01,"GS3M",5.23,2021-02-24,2021-02-24
"220",1999-12-01,"GS3M",5.36,2021-02-24,2021-02-24
"221",2000-01-01,"GS3M",5.5,2021-02-24,2021-02-24
"222",2000-02-01,"GS3M",5.73,2021-02-24,2021-02-24
"223",2000-03-01,"GS3M",5.86,2021-02-24,2021-02-24
"224",2000-04-01,"GS3M",5.82,2021-02-24,2021-02-24
"225",2000-05-01,"GS3M",5.99,2021-02-24,2021-02-24
"226",2000-06-01,"GS3M",5.86,2021-02-24,2021-02-24
"227",2000-07-01,"GS3M",6.14,2021-02-24,2021-02-24
"228",2000-08-01,"GS3M",6.28,2021-02-24,2021-02-24
"229",2000-09-01,"GS3M",6.18,2021-02-24,2021-02-24
"230",2000-10-01,"GS3M",6.29,2021-02-24,2021-02-24
"231",2000-11-01,"GS3M",6.36,2021-02-24,2021-02-24
"232",2000-12-01,"GS3M",5.94,2021-02-24,2021-02-24
"233",2001-01-01,"GS3M",5.29,2021-02-24,2021-02-24
"234",2001-02-01,"GS3M",5.01,2021-02-24,2021-02-24
"235",2001-03-01,"GS3M",4.54,2021-02-24,2021-02-24
"236",2001-04-01,"GS3M",3.97,2021-02-24,2021-02-24
"237",2001-05-01,"GS3M",3.7,2021-02-24,2021-02-24
"238",2001-06-01,"GS3M",3.57,2021-02-24,2021-02-24
"239",2001-07-01,"GS3M",3.59,2021-02-24,2021-02-24
"240",2001-08-01,"GS3M",3.44,2021-02-24,2021-02-24
"241",2001-09-01,"GS3M",2.69,2021-02-24,2021-02-24
"242",2001-10-01,"GS3M",2.2,2021-02-24,2021-02-24
