"","date","series_id","value","realtime_start","realtime_end"
"146",1965-05-01,"GS10",4.21,2021-02-24,2021-02-24
"147",1965-06-01,"GS10",4.21,2021-02-24,2021-02-24
"148",1965-07-01,"GS10",4.2,2021-02-24,2021-02-24
"149",1965-08-01,"GS10",4.25,2021-02-24,2021-02-24
"150",1965-09-01,"GS10",4.29,2021-02-24,2021-02-24
"151",1965-10-01,"GS10",4.35,2021-02-24,2021-02-24
"152",1965-11-01,"GS10",4.45,2021-02-24,2021-02-24
"153",1965-12-01,"GS10",4.62,2021-02-24,2021-02-24
"154",1966-01-01,"GS10",4.61,2021-02-24,2021-02-24
"155",1966-02-01,"GS10",4.83,2021-02-24,2021-02-24
"156",1966-03-01,"GS10",4.87,2021-02-24,2021-02-24
"157",1966-04-01,"GS10",4.75,2021-02-24,2021-02-24
"158",1966-05-01,"GS10",4.78,2021-02-24,2021-02-24
"159",1966-06-01,"GS10",4.81,2021-02-24,2021-02-24
"160",1966-07-01,"GS10",5.02,2021-02-24,2021-02-24
"161",1966-08-01,"GS10",5.22,2021-02-24,2021-02-24
"162",1966-09-01,"GS10",5.18,2021-02-24,2021-02-24
"163",1966-10-01,"GS10",5.01,2021-02-24,2021-02-24
"164",1966-11-01,"GS10",5.16,2021-02-24,2021-02-24
"165",1966-12-01,"GS10",4.84,2021-02-24,2021-02-24
"166",1967-01-01,"GS10",4.58,2021-02-24,2021-02-24
"167",1967-02-01,"GS10",4.63,2021-02-24,2021-02-24
"168",1967-03-01,"GS10",4.54,2021-02-24,2021-02-24
"169",1967-04-01,"GS10",4.59,2021-02-24,2021-02-24
"170",1967-05-01,"GS10",4.85,2021-02-24,2021-02-24
"171",1967-06-01,"GS10",5.02,2021-02-24,2021-02-24
"172",1967-07-01,"GS10",5.16,2021-02-24,2021-02-24
"173",1967-08-01,"GS10",5.28,2021-02-24,2021-02-24
"174",1967-09-01,"GS10",5.3,2021-02-24,2021-02-24
"175",1967-10-01,"GS10",5.48,2021-02-24,2021-02-24
"176",1967-11-01,"GS10",5.75,2021-02-24,2021-02-24
"177",1967-12-01,"GS10",5.7,2021-02-24,2021-02-24
"178",1968-01-01,"GS10",5.53,2021-02-24,2021-02-24
"179",1968-02-01,"GS10",5.56,2021-02-24,2021-02-24
"180",1968-03-01,"GS10",5.74,2021-02-24,2021-02-24
"181",1968-04-01,"GS10",5.64,2021-02-24,2021-02-24
"182",1968-05-01,"GS10",5.87,2021-02-24,2021-02-24
"183",1968-06-01,"GS10",5.72,2021-02-24,2021-02-24
"184",1968-07-01,"GS10",5.5,2021-02-24,2021-02-24
"185",1968-08-01,"GS10",5.42,2021-02-24,2021-02-24
"186",1968-09-01,"GS10",5.46,2021-02-24,2021-02-24
"187",1968-10-01,"GS10",5.58,2021-02-24,2021-02-24
"188",1968-11-01,"GS10",5.7,2021-02-24,2021-02-24
"189",1968-12-01,"GS10",6.03,2021-02-24,2021-02-24
"190",1969-01-01,"GS10",6.04,2021-02-24,2021-02-24
"191",1969-02-01,"GS10",6.19,2021-02-24,2021-02-24
"192",1969-03-01,"GS10",6.3,2021-02-24,2021-02-24
"193",1969-04-01,"GS10",6.17,2021-02-24,2021-02-24
"194",1969-05-01,"GS10",6.32,2021-02-24,2021-02-24
"195",1969-06-01,"GS10",6.57,2021-02-24,2021-02-24
"196",1969-07-01,"GS10",6.72,2021-02-24,2021-02-24
"197",1969-08-01,"GS10",6.69,2021-02-24,2021-02-24
"198",1969-09-01,"GS10",7.16,2021-02-24,2021-02-24
"199",1969-10-01,"GS10",7.1,2021-02-24,2021-02-24
"200",1969-11-01,"GS10",7.14,2021-02-24,2021-02-24
"201",1969-12-01,"GS10",7.65,2021-02-24,2021-02-24
"202",1970-01-01,"GS10",7.79,2021-02-24,2021-02-24
"203",1970-02-01,"GS10",7.24,2021-02-24,2021-02-24
"204",1970-03-01,"GS10",7.07,2021-02-24,2021-02-24
"205",1970-04-01,"GS10",7.39,2021-02-24,2021-02-24
"206",1970-05-01,"GS10",7.91,2021-02-24,2021-02-24
"207",1970-06-01,"GS10",7.84,2021-02-24,2021-02-24
"208",1970-07-01,"GS10",7.46,2021-02-24,2021-02-24
"209",1970-08-01,"GS10",7.53,2021-02-24,2021-02-24
"210",1970-09-01,"GS10",7.39,2021-02-24,2021-02-24
"211",1970-10-01,"GS10",7.33,2021-02-24,2021-02-24
"212",1970-11-01,"GS10",6.84,2021-02-24,2021-02-24
"213",1970-12-01,"GS10",6.39,2021-02-24,2021-02-24
"214",1971-01-01,"GS10",6.24,2021-02-24,2021-02-24
"215",1971-02-01,"GS10",6.11,2021-02-24,2021-02-24
"216",1971-03-01,"GS10",5.7,2021-02-24,2021-02-24
"217",1971-04-01,"GS10",5.83,2021-02-24,2021-02-24
"218",1971-05-01,"GS10",6.39,2021-02-24,2021-02-24
"219",1971-06-01,"GS10",6.52,2021-02-24,2021-02-24
"220",1971-07-01,"GS10",6.73,2021-02-24,2021-02-24
"221",1971-08-01,"GS10",6.58,2021-02-24,2021-02-24
"222",1971-09-01,"GS10",6.14,2021-02-24,2021-02-24
"223",1971-10-01,"GS10",5.93,2021-02-24,2021-02-24
"224",1971-11-01,"GS10",5.81,2021-02-24,2021-02-24
"225",1971-12-01,"GS10",5.93,2021-02-24,2021-02-24
"226",1972-01-01,"GS10",5.95,2021-02-24,2021-02-24
"227",1972-02-01,"GS10",6.08,2021-02-24,2021-02-24
"228",1972-03-01,"GS10",6.07,2021-02-24,2021-02-24
"229",1972-04-01,"GS10",6.19,2021-02-24,2021-02-24
"230",1972-05-01,"GS10",6.13,2021-02-24,2021-02-24
"231",1972-06-01,"GS10",6.11,2021-02-24,2021-02-24
"232",1972-07-01,"GS10",6.11,2021-02-24,2021-02-24
"233",1972-08-01,"GS10",6.21,2021-02-24,2021-02-24
"234",1972-09-01,"GS10",6.55,2021-02-24,2021-02-24
"235",1972-10-01,"GS10",6.48,2021-02-24,2021-02-24
"236",1972-11-01,"GS10",6.28,2021-02-24,2021-02-24
"237",1972-12-01,"GS10",6.36,2021-02-24,2021-02-24
"238",1973-01-01,"GS10",6.46,2021-02-24,2021-02-24
"239",1973-02-01,"GS10",6.64,2021-02-24,2021-02-24
"240",1973-03-01,"GS10",6.71,2021-02-24,2021-02-24
"241",1973-04-01,"GS10",6.67,2021-02-24,2021-02-24
"242",1973-05-01,"GS10",6.85,2021-02-24,2021-02-24
"243",1973-06-01,"GS10",6.9,2021-02-24,2021-02-24
"244",1973-07-01,"GS10",7.13,2021-02-24,2021-02-24
"245",1973-08-01,"GS10",7.4,2021-02-24,2021-02-24
"246",1973-09-01,"GS10",7.09,2021-02-24,2021-02-24
"247",1973-10-01,"GS10",6.79,2021-02-24,2021-02-24
"248",1973-11-01,"GS10",6.73,2021-02-24,2021-02-24
"249",1973-12-01,"GS10",6.74,2021-02-24,2021-02-24
"250",1974-01-01,"GS10",6.99,2021-02-24,2021-02-24
"251",1974-02-01,"GS10",6.96,2021-02-24,2021-02-24
"252",1974-03-01,"GS10",7.21,2021-02-24,2021-02-24
"253",1974-04-01,"GS10",7.51,2021-02-24,2021-02-24
"254",1974-05-01,"GS10",7.58,2021-02-24,2021-02-24
"255",1974-06-01,"GS10",7.54,2021-02-24,2021-02-24
"256",1974-07-01,"GS10",7.81,2021-02-24,2021-02-24
"257",1974-08-01,"GS10",8.04,2021-02-24,2021-02-24
"258",1974-09-01,"GS10",8.04,2021-02-24,2021-02-24
"259",1974-10-01,"GS10",7.9,2021-02-24,2021-02-24
"260",1974-11-01,"GS10",7.68,2021-02-24,2021-02-24
"261",1974-12-01,"GS10",7.43,2021-02-24,2021-02-24
"262",1975-01-01,"GS10",7.5,2021-02-24,2021-02-24
"263",1975-02-01,"GS10",7.39,2021-02-24,2021-02-24
"264",1975-03-01,"GS10",7.73,2021-02-24,2021-02-24
"265",1975-04-01,"GS10",8.23,2021-02-24,2021-02-24
"266",1975-05-01,"GS10",8.06,2021-02-24,2021-02-24
"267",1975-06-01,"GS10",7.86,2021-02-24,2021-02-24
"268",1975-07-01,"GS10",8.06,2021-02-24,2021-02-24
"269",1975-08-01,"GS10",8.4,2021-02-24,2021-02-24
"270",1975-09-01,"GS10",8.43,2021-02-24,2021-02-24
"271",1975-10-01,"GS10",8.14,2021-02-24,2021-02-24
"272",1975-11-01,"GS10",8.05,2021-02-24,2021-02-24
"273",1975-12-01,"GS10",8,2021-02-24,2021-02-24
"274",1976-01-01,"GS10",7.74,2021-02-24,2021-02-24
"275",1976-02-01,"GS10",7.79,2021-02-24,2021-02-24
"276",1976-03-01,"GS10",7.73,2021-02-24,2021-02-24
"277",1976-04-01,"GS10",7.56,2021-02-24,2021-02-24
"278",1976-05-01,"GS10",7.9,2021-02-24,2021-02-24
"279",1976-06-01,"GS10",7.86,2021-02-24,2021-02-24
"280",1976-07-01,"GS10",7.83,2021-02-24,2021-02-24
"281",1976-08-01,"GS10",7.77,2021-02-24,2021-02-24
"282",1976-09-01,"GS10",7.59,2021-02-24,2021-02-24
"283",1976-10-01,"GS10",7.41,2021-02-24,2021-02-24
"284",1976-11-01,"GS10",7.29,2021-02-24,2021-02-24
"285",1976-12-01,"GS10",6.87,2021-02-24,2021-02-24
"286",1977-01-01,"GS10",7.21,2021-02-24,2021-02-24
"287",1977-02-01,"GS10",7.39,2021-02-24,2021-02-24
"288",1977-03-01,"GS10",7.46,2021-02-24,2021-02-24
"289",1977-04-01,"GS10",7.37,2021-02-24,2021-02-24
"290",1977-05-01,"GS10",7.46,2021-02-24,2021-02-24
"291",1977-06-01,"GS10",7.28,2021-02-24,2021-02-24
"292",1977-07-01,"GS10",7.33,2021-02-24,2021-02-24
"293",1977-08-01,"GS10",7.4,2021-02-24,2021-02-24
"294",1977-09-01,"GS10",7.34,2021-02-24,2021-02-24
"295",1977-10-01,"GS10",7.52,2021-02-24,2021-02-24
"296",1977-11-01,"GS10",7.58,2021-02-24,2021-02-24
"297",1977-12-01,"GS10",7.69,2021-02-24,2021-02-24
"298",1978-01-01,"GS10",7.96,2021-02-24,2021-02-24
"299",1978-02-01,"GS10",8.03,2021-02-24,2021-02-24
"300",1978-03-01,"GS10",8.04,2021-02-24,2021-02-24
"301",1978-04-01,"GS10",8.15,2021-02-24,2021-02-24
"302",1978-05-01,"GS10",8.35,2021-02-24,2021-02-24
"303",1978-06-01,"GS10",8.46,2021-02-24,2021-02-24
"304",1978-07-01,"GS10",8.64,2021-02-24,2021-02-24
"305",1978-08-01,"GS10",8.41,2021-02-24,2021-02-24
"306",1978-09-01,"GS10",8.42,2021-02-24,2021-02-24
"307",1978-10-01,"GS10",8.64,2021-02-24,2021-02-24
"308",1978-11-01,"GS10",8.81,2021-02-24,2021-02-24
"309",1978-12-01,"GS10",9.01,2021-02-24,2021-02-24
"310",1979-01-01,"GS10",9.1,2021-02-24,2021-02-24
"311",1979-02-01,"GS10",9.1,2021-02-24,2021-02-24
"312",1979-03-01,"GS10",9.12,2021-02-24,2021-02-24
"313",1979-04-01,"GS10",9.18,2021-02-24,2021-02-24
"314",1979-05-01,"GS10",9.25,2021-02-24,2021-02-24
"315",1979-06-01,"GS10",8.91,2021-02-24,2021-02-24
"316",1979-07-01,"GS10",8.95,2021-02-24,2021-02-24
"317",1979-08-01,"GS10",9.03,2021-02-24,2021-02-24
"318",1979-09-01,"GS10",9.33,2021-02-24,2021-02-24
